# word bigrams for Saylane sentence decoding
# Phrase splits from the lexicon plus OpenSubtitles-derived counts
我	们	827393
什	么	534934
知	道	437631
他	们	330294
一	个	286202
没	有	257229
不	是	253381
可	以	213363
你	们	207368
现	在	191204
这	个	184608
怎	么	174335
就	是	174013
如	果	171341
这	里	155860
这	样	154329
自	己	134251
不	会	126661
告	诉	121954
为	什么	119165
为什	么	119165
不	能	118582
真	的	117862
先	生	115604
只	是	115331
不	要	114540
这	是	113425
已	经	111924
需	要	104694
因	为	103803
谢	谢	103359
这	么	100276
可	能	98736
但	是	97969
那	个	97172
所	以	95495
喜	欢	94248
我	要	91785
你	好	90780
觉	得	90238
还	有	86154
时	候	85885
东	西	85443
我	想	83543
我	会	82721
一	起	82572
应	该	80917
这	些	80491
孩	子	77837
看	到	76399
一	下	75958
那	么	75600
还	是	69657
问	题	68808
工	作	68196
一	样	67580
开	始	65701
然	后	62651
看	看	62633
地	方	61961
一	定	61412
希	望	61212
朋	友	61124
今	天	59831
事	情	58749
一	直	58604
所	有	58306
找	到	57999
当	然	57824
回	来	57701
不	想	57546
没	事	54978
那	些	54693
明	白	54299
的	话	54266
爸	爸	54140
离	开	53576
一	切	53550
时	间	53544
相	信	53265
妈	妈	52775
想	要	52770
发	生	52014
起	来	51203
真	是	50764
抱	歉	50333
必	须	50284
认	为	50036
去	北京	50003
一	点	49989
非	常	49810
那	里	48876
对	不起	48835
也	许	48806
大	家	48358
有	人	48110
哪	里	48077
我	的	47606
意	思	47296
准	备	45490
出	来	45071
你	的	43484
不	过	43421
一	些	43320
为	了	42835
女	人	42514
这	儿	41851
爱	你	41269
只	有	41174
过	来	41005
一	次	40768
想	去	40711
今天	天气	40215
得	到	39991
很	多	39668
任	何	39594
这	种	39590
怎么	样	39364
很	好	38542
感	觉	38329
是	不是	37977
以	为	37929
而	且	37779
生	活	37633
男	人	37624
之	前	37558
发	现	37040
可	是	36680
快	点	36485
两	个	35966
不	用	35789
名	字	35374
没	错	35015
世	界	33790
记	得	33268
不	错	33113
肯	定	33061
最	好	33033
不	行	32968
等	等	32948
出	去	32726
亲	爱	31933
担	心	31339
如	何	31320
到	底	31107
有	点	30851
我	爱	30829
最	后	30725
小	姐	30706
上	帝	30372
认	识	30285
正	在	30154
那	样	29969
父	亲	29719
高	兴	29700
明	天	29589
重	要	29507
警	察	29120
只	要	29107
干	什么	29067
干什	么	29067
好	像	29033
我	能	28862
再	见	28825
继	续	28740
今	晚	28650
他妈	的	28590
回	家	28350
它	们	28308
多	少	28248
电	话	28178
听	到	27995
干	嘛	27736
医	生	27452
要	是	27272
女	孩	27105
马	上	26720
过	去	26646
以	前	26399
儿	子	26024
九	点	25752
哪	儿	25634
说	话	25586
看	起来	25511
看起	来	25511
完	全	25423
该	死	25331
美	国	25172
怎	样	25165
回	去	25131
其	他	24827
永	远	24688
家	伙	24679
之	后	24566
看	见	24365
或	者	24021
小	心	23400
别	人	23278
成	为	23248
不	到	22985
情	况	22913
伙	计	22702
一	天	22619
见	到	22417
晚	上	22343
总	是	22325
好	好	22187
如	此	22150
了	解	21944
有	没有	21883
兄	弟	21873
没	什么	21850
没什	么	21850
我	来	21764
结	束	21743
机	会	21719
安	全	21662
拜	托	21530
决	定	21480
确	定	21435
里	面	21222
怎么	办	21189
还	好	21062
无	法	21037
小	时	21036
有	些	21011
清	楚	21001
帮	助	20849
长	官	20785
公	司	20745
打	电话	20623
我	是	20611
房	子	20426
根	本	20419
办	法	20396
不	管	20316
想	吃	20310
混	蛋	20306
关	于	20217
点	了	20154
天气	很	20045
计	划	19959
唯	一	19772
来	说	19688
女	儿	19614
看	着	19249
宝	贝	19208
每	个	19176
怎么	回事	19113
其	实	19073
漂	亮	19069
黑	体	19019
人	们	18560
真	正	18550
甚	至	18542
那	边	18528
不	好	18402
进	来	18144
九点	了	18009
夫	人	17916
愿	意	17725
麻	烦	17699
就	要	17553
打	算	17525
故	事	17449
一	种	17433
害	怕	17332
房	间	17234
那	儿	17180
衣	服	17176
母	亲	17158
不	了	17139
下	来	17025
听	说	17007
注	意	16962
改	变	16916
这	次	16841
你	是	16840
没	关系	16619
没关	系	16619
接	受	16528
妻	子	16485
失	去	16298
回	到	16271
以	后	16207
是	否	16033
是	的	16031
生	命	15984
她	们	15939
进	去	15918
女	士	15860
原	因	15775
刚	才	15711
保	护	15705
是	因为	15697
选	择	15677
几	个	15669
关	系	15628
从	来	15598
他	会	15547
当	时	15505
出	现	15480
结	婚	15436
至	少	15397
还	要	15387
成	功	15300
奇	怪	15274
虽	然	15248
太好	了	15231
身	上	15209
不知	道	15126
或	许	15103
觉得	这个	15065
明天	去	15042
现在	九点	15002
有	个	15000
保	证	14953
外	面	14930
他	的	14916
丈	夫	14911
国	家	14868
整	个	14843
特	别	14713
那	种	14703
不	同	14683
很	快	14613
变	成	14586
难	道	14486
学	校	14485
一	件	14432
样	子	14382
电	影	14316
谈	谈	14278
危	险	14214
开	心	14205
别	的	14203
这	件	14195
才	能	14190
闭	嘴	14116
进	行	14067
照	片	14032
刚	刚	14014
而	已	13982
完	成	13961
方	式	13892
做	到	13867
声	音	13764
第	一次	13761
第一	次	13761
看	来	13757
只	能	13754
太	太	13742
下	去	13711
绝	对	13694
处	理	13648
欢	迎	13646
眼	睛	13633
通	过	13622
行	动	13616
感	到	13606
最	近	13574
各	位	13378
这	边	13334
你	在	13297
不	好意思	13277
不好	意思	13277
作	为	13166
容	易	13098
直	到	13072
比	赛	12978
像	是	12930
更	好	12856
有	趣	12776
的	人	12761
就	算	12730
活	着	12644
努	力	12604
帮	忙	12603
留	下	12597
同	意	12596
参	加	12581
死	亡	12478
上	面	12452
结	果	12437
消	息	12436
要	求	12422
理	解	12391
曾	经	12376
打	开	12358
收	到	12303
照	顾	12302
人	类	12254
主	意	12249
保	持	12228
杰	克	12213
存	在	12210
我们	明天	12196
晚	安	12142
确	实	12130
全	部	12111
这个	可以	12020
讨	厌	12017
中国	人民	12010
现在	九	12001
突	然	11978
不	再	11961
多	久	11922
老	婆	11908
任何	人	11848
任	何人	11846
开	玩笑	11833
放	在	11830
进	入	11815
父	母	11812
总	统	11765
伤	害	11740
回	答	11714
一	位	11709
三	个	11701
所有	人	11689
所	有人	11686
老	师	11647
除	了	11587
咱	们	11553
自	由	11535
可	爱	11532
抓	住	11512
想	法	11499
我知	道	11463
简	单	11450
身	体	11444
早	上	11430
能	够	11408
昨	晚	11376
哥	哥	11336
秘	密	11307
休	息	11286
战	争	11237
其	中	11222
医	院	11180
每	天	11167
之	间	11133
大	概	11112
控	制	11096
小	孩	11048
带	来	11037
停	止	11019
因	此	10993
证	明	10965
约	翰	10953
你	知道	10939
飞	机	10927
解	释	10884
律	师	10850
终	于	10832
翻	译	10800
调	查	10798
留	在	10790
为	何	10790
糟	糕	10789
任	务	10784
武	器	10777
是	我	10756
家	里	10736
小	子	10731
来	自	10728
后	面	10717
来	到	10687
解	决	10671
其他	人	10657
其	他人	10656
家	人	10615
坐	下	10592
直	接	10401
办	公室	10400
办公	室	10400
放	弃	10365
加	油	10326
方	法	10291
游	戏	10271
即	使	10244
我	在	10171
大	人	10161
年	轻	10155
使	用	10152
老	板	10128
想	想	10110
坐	在	10103
目	标	10086
变	得	10053
可	怕	10049
拿	到	10038
考	虑	9989
个	人	9988
开	枪	9983
睡	觉	9920
分	钟	9914
想	到	9911
那	是	9873
等	待	9865
音	乐	9858
再	说	9855
聪	明	9807
姑	娘	9782
地	球	9779
感	谢	9755
命	令	9746
阻	止	9718
一	只	9715
消	失	9695
冷	静	9657
似	乎	9654
联	系	9637
家	庭	9624
痛	苦	9617
城	市	9606
力	量	9584
对	于	9573
未	来	9572
男	孩	9571
博	士	9538
姐	姐	9531
我	也	9507
疯	狂	9504
报	告	9496
你	要	9476
放	下	9469
昨	天	9454
给	我	9431
那	天	9422
完	美	9385
答	应	9366
证	据	9337
本	来	9324
负	责	9319
检	查	9309
一	条	9277
厉	害	9218
拥	有	9212
正	常	9210
并	且	9209
否	则	9190
以	及	9152
重	新	9151
忘	记	9136
这	位	9110
研	究	9106
不	然	9088
附	近	9088
太棒	了	9076
很	棒	9070
方	正	9061
你	说	9052
字	幕	9035
好	的	9027
加	入	9001
不	该	8927
反	正	8927
政	府	8908
快	乐	8904
身	边	8875
遇	到	8873
我们	的	8871
伟	大	8835
咖	啡	8831
是	你	8767
仍	然	8755
开	车	8750
代	表	8730
了	吗	8705
尸	体	8674
比	较	8668
一	年	8649
紧	张	8619
好	了	8606
监	狱	8605
位	置	8592
随	便	8571
安	排	8561
表	演	8547
从	没	8544
除	非	8535
是	个	8524
屁	股	8502
必	要	8480
老	兄	8473
支	持	8471
人	生	8461
正	确	8454
跟	着	8433
杀	死	8431
叔	叔	8420
交	给	8419
食	物	8401
事	实	8394
简	直	8389
安	静	8375
一	场	8369
了	我	8357
妹	妹	8319
美	丽	8297
再	次	8288
案	子	8278
下	面	8278
我	说	8221
不	够	8207
可	怜	8177
给	你	8078
首	先	8076
另	外	8069
提	供	8065
记	住	8060
听	见	8048
国	王	8039
