# RTranslate pinyin lexicon
# Readings: mozillazg/pinyin-data and phrase-pinyin-data (MIT)
# Frequency: hermitdave/FrequencyWords zh_cn_full (CC-BY-SA-4.0)
a	358257	啊
a	7657	阿
a	80	吖
a	80	呵
a	80	腌
a	29	嗄
a	2	锕
a a	5	阿阿
a a a	292	啊啊啊
a ai	12	阿艾
a ai	6	阿矮
a an	12	阿安
a ang	47	阿昂
a ba	187	阿爸
a ba	149	阿巴
a ba	19	阿拔
a ba	18	阿八
a ba de	8	阿巴德
a bai	14	阿白
a ba la	10	阿巴拉
a ba la qi ya	10	阿巴拉契亚
a ban	84	阿班
a bang	75	阿邦
a bao	718	阿宝
a bao	106	阿包
a bao	55	阿豹
a bao	30	阿保
a bao hui	5	阿宝会
a ba si	31	阿巴斯
a bei	30	阿贝
a bei	7	阿倍
a bei di	7	阿贝迪
a bei di ni	6	阿贝迪尼
a bei er	99	阿贝尔
a ben	105	阿本
a ben	5	阿笨
a ben sen	6	阿本森
a bi	295	阿比
a bi	40	阿鼻
a bi	17	阿碧
a bian	49	阿扁
a biao	36	阿标
a biao	23	阿彪
a bi di yu	40	阿鼻地狱
a bin	37	阿宾
a bin	6	阿彬
a bing	27	阿炳
a bing	19	阿兵
a bing	17	阿冰
a bing	11	阿饼
a bing	6	阿丙
a bing ge	53	阿兵哥
a bi rang	40	阿比让
a bi xi ni ya	14	阿比西尼亚
a bo	194	阿伯
a bo	40	阿波
a bo	8	阿拨
a bo	7	阿卜
a bo di	17	阿卜迪
a bo ding	30	阿伯丁
a bo du	19	阿卜杜
a bo du lei	42	阿卜杜勒
a bo fei	12	阿波菲
a bo la	5	阿伯拉
a bo la	5	阿卜拉
a bo lin	5	阿波琳
a bo luo	435	阿波罗
a bo luo hao	10	阿波罗号
a bo sa long	7	阿勃萨龙
a bo te	114	阿伯特
a bo te	14	阿博特
a bu	472	阿布
a bu	88	阿部
a bu de	51	阿布德
a bu di	12	阿布迪
a bu du	30	阿布杜
a bu du er	11	阿布杜尔
a bu du la	85	阿卜杜拉
a bu ha zi	7	阿布哈兹
a bu kui ji	9	阿布奎基
a bu la	78	阿布拉
a bu lai	9	阿布来
a bu la mo wei qi	6	阿布拉莫维奇
a bu lu	35	阿布鲁
a bu rui	21	阿布瑞
a bu si	12	阿不思
a bu si	8	阿布思
