# Extra modern/common phrases overlay
shi de	1200000	是的
wo men	2000000	我们
wei xin	2000000	微信
huan cun	2000000	缓存
dou yin	1500000	抖音
zhi fu bao	1500000	支付宝
tao bao	1200000	淘宝
xia zai	900000	下载
jing dong	900000	京东
jin tian	900000	今天
dan shi	900000	但是
hua wei	900000	华为
ke yi	900000	可以
yin wei	900000	因为
fu zhi	900000	复制
wai mai	900000	外卖
ru guo	900000	如果
mi ma	900000	密码
xiao hong shu	900000	小红书
kai shi	900000	开始
wei bo	900000	微博
suo yi	900000	所以
da kai	900000	打开
pin duo duo	900000	拼多多
sou suo	900000	搜索
ming tian	900000	明天
wan shang	900000	晚上
ran hou	900000	然后
xian zai	900000	现在
deng lu	900000	登录
bai du	900000	百度
zhi dao	900000	知道
que ding	900000	确定
mei tuan	900000	美团
jue de	900000	觉得
she zhi	900000	设置
hai shi	900000	还是
xu yao	900000	需要
xia wu	800000	下午
bu guo	800000	不过
er wei ma	800000	二维码
hui yuan	800000	会员
hui yi	800000	会议
bao cun	800000	保存
chong dian	800000	充电
guan bi	800000	关闭
qi shi	800000	其实
zhun bei	800000	准备
gang cai	800000	刚才
shan chu	800000	删除
qu xiao	800000	取消
di tie	800000	地铁
hao xiang	800000	好像
an zhuang	800000	安装
wan cheng	800000	完成
xiao cheng xu	800000	小程序
xiao mi	800000	小米
xi wang	800000	希望
ying gai	800000	应该
kuai shou	800000	快手
kuai di	800000	快递
cheng gong	800000	成功
huo zhe	800000	或者
jie tu	800000	截图
ti jiao	800000	提交
zao shang	800000	早上
zuo tian	800000	昨天
geng xin	800000	更新
fu wu qi	800000	服务器
zhu ce	800000	注册
liu lan qi	800000	浏览器
di di	800000	滴滴
zhi bo	800000	直播
que ren	800000	确认
zhan tie	800000	粘贴
hong bao	800000	红包
jie shu	800000	结束
fan yi	800000	翻译
teng xun	800000	腾讯
ping guo	800000	苹果
yu yin	800000	语音
zhuan zhang	800000	转账
shu ru	800000	输入
fan hui	800000	返回
tong zhi	800000	通知
pei zhi	800000	配置
fei shu	800000	飞书
ma shang	800000	马上
yan zheng ma	800000	验证码
gao tie	800000	高铁
yi hui er	700000	一会儿
shang chuan	700000	上传
zhong wu	700000	中午
yi qian	700000	以前
yi hou	700000	以后
you hui quan	700000	优惠券
gong zhong hao	700000	公众号
nei cun	700000	内存
shua xin	700000	刷新
jia ban	700000	加班
tong bu	700000	同步
zhou mo	700000	周末
zai xian	700000	在线
da gai	700000	大概
shi bai	700000	失败
zi jie	700000	字节
an zhuo	700000	安卓
ke hu duan	700000	客户端
da ka	700000	打卡
shou quan	700000	授权
jie kou	700000	接口
shu ju ku	700000	数据库
wen jian jia	700000	文件夹
peng you quan	700000	朋友圈
quan xian	700000	权限
zhuo mian	700000	桌面
liu liang	700000	流量
dian chi	700000	电池
zhi hu	700000	知乎
wang yi	700000	网易
er qie	700000	而且
lan ya	700000	蓝牙
sui ran	700000	虽然
shi bie	700000	识别
tiao shi	700000	调试
tui chu	700000	退出
ding ding	700000	钉钉
cuo wu	700000	错误
a li	700000	阿里
e le me	700000	饿了么
mo ren	700000	默认
gong ji jin	600000	公积金
qian duan	600000	前端
jia zai	600000	加载
fa piao	600000	发票
hou duan	600000	后端
bei fen	600000	备份
kai guan	600000	开关
kuai jie jian	600000	快捷键
cha jian	600000	插件
she xiang tou	600000	摄像头
che xiao	600000	撤销
shou kuan	600000	收款
ri cheng	600000	日程
cha zhao	600000	查找
she bao	600000	社保
li xian	600000	离线
kong ge	600000	空格
xian cheng	600000	线程
er ji	600000	耳机
hua bei	600000	花呗
jie suo	600000	解锁
ding yue	600000	订阅
dou ban	600000	豆瓣
shu chu	600000	输出
jin cheng	600000	进程
yuan cheng	600000	远程
chong qi	600000	重启
chong shi	600000	重试
yin si	600000	隐私
gao de	600000	高德
mai ke feng	600000	麦克风
zhong jie	500000	中介
yun pan	500000	云盘
cang ku	500000	仓库
xiang su	500000	像素
chong dian bao	500000	充电宝
quan xuan	500000	全选
guan ji	500000	关机
fen zhi	500000	分支
jian qie	500000	剪切
jian tie ban	500000	剪贴板
xie zai	500000	卸载
ya suo	500000	压缩
kou zhao	500000	口罩
hui che	500000	回车
zi duan	500000	字段
kuan dai	500000	宽带
dai ban	500000	待办
hu lve	500000	忽略
jie ping	500000	截屏
fang dong	500000	房东
fang dai	500000	房贷
sao yi sao	500000	扫一扫
tou ping	500000	投屏
bao xiao	500000	报销
shu zu	500000	数组
xian ka	500000	显卡
ti huan	500000	替换
biao dian	500000	标点
biao qian ye	500000	标签页
re dian	500000	热点
yi miao	500000	疫苗
ying pan	500000	硬盘
zu jin	500000	租金
li ke	500000	立刻
wang pan	500000	网盘
wang yue che	500000	网约车
shi pin hao	500000	视频号
jie ya	500000	解压
jing gao	500000	警告
lu you qi	500000	路由器
tong qin	500000	通勤
suo ping	500000	锁屏
nao zhong	500000	闹钟
hong meng	500000	鸿蒙
zhu ban	400000	主板
shu qian	400000	书签
hou xuan	400000	候选
pian hao	400000	偏好
quan pin	400000	全拼
gong xiang dan che	400000	共享单车
fen bian lv	400000	分辨率
he zu	400000	合租
hui gun	400000	回滚
gu tai	400000	固态
mai dian	400000	埋点
bi zhi	400000	壁纸
ju jia	400000	居家
nian jia	400000	年假
yang sheng qi	400000	扬声器
zhi zhen	400000	指针
zhu xiao	400000	注销
shen se	400000	深色
hui du	400000	灰度
re geng xin	400000	热更新
zhuang tai lan	400000	状态栏
deng chu	400000	登出
bai tiao	400000	白条
shao hou	400000	稍后
jian pin	400000	简拼
ji yao	400000	纪要
huan chong	400000	缓冲
cai dan lan	400000	菜单栏
tiao xiu	400000	调休
chong zuo	400000	重做
fei xing mo shi	400000	飞行模式
jian kang ma	300000	健康码
xie cheng	300000	协程
shuang pin	300000	双拼
sha he	300000	沙盒
qian se	300000	浅色
yin jie	300000	音节
xing cheng ma	200000	行程码
jin nian	520000	今年
ming nian	520000	明年
qu nian	520000	去年
xing qi	520000	星期
xiao shi	520000	小时
fen zhong	520000	分钟
miao zhong	520000	秒钟
mu qian	520000	目前
zui jin	520000	最近
hou lai	520000	后来
dang shi	520000	当时
tong shi	520000	同时
yin ci	520000	因此
yu shi	520000	于是
bing qie	520000	并且
yi wei	520000	以为
ren wei	520000	认为
tao yan	520000	讨厌
hai pa	520000	害怕
dan xin	520000	担心
kai xin	520000	开心
gao xing	520000	高兴
shang xin	520000	伤心
nan guo	520000	难过
sheng qi	520000	生气
shi wang	520000	失望
jin zhang	520000	紧张
fang song	520000	放松
ren zhen	520000	认真
nu li	520000	努力
jin liang	520000	尽量
bi xu	520000	必须
yi ding	520000	一定
ken ding	520000	肯定
ke neng	520000	可能
shi hu	520000	似乎
ji hu	520000	几乎
zheng zai	520000	正在
yi zhi	520000	一直
cong lai	520000	从来
zong shi	520000	总是
jing chang	520000	经常
ou er	520000	偶尔
you shi	520000	有时
gang gang	520000	刚刚
bu yao	520000	不要
bu yong	520000	不用
hai mei	520000	还没
bu hui	520000	不会
bu neng	520000	不能
bu xiang	520000	不想
bu yuan	520000	不愿
bu xing	520000	不行
bu dui	520000	不对
na ge	520000	哪个
na li	520000	哪里
shui de	520000	谁的
ji ge	520000	几个
zen yang	520000	怎样
ru he	520000	如何
ta men	520000	她们
ta men	520000	它们
zi ji	520000	自己
da jia	520000	大家
bie ren	520000	别人
you ren	520000	有人
mei ren	520000	没人
ren ren	520000	人人
dong xi	520000	东西
shi qing	520000	事情
wen ti	520000	问题
ban fa	520000	办法
fang fa	520000	方法
yuan yin	520000	原因
jie guo	520000	结果
guo cheng	520000	过程
qing kuang	520000	情况
zhuang tai	520000	状态
guan xi	520000	关系
gan jue	520000	感觉
shang ban	520000	上班
xia ban	520000	下班
kai hui	520000	开会
chu cha	520000	出差
qing jia	520000	请假
xiu xi	520000	休息
fang jia	520000	放假
lv you	520000	旅游
he shui	520000	喝水
shui jue	520000	睡觉
qi chuang	520000	起床
xi zao	520000	洗澡
shua ya	520000	刷牙
xi lian	520000	洗脸
shang ce suo	500000	上厕所
zou lu	520000	走路
pao bu	520000	跑步
duan lian	520000	锻炼
shang xue	520000	上学
xia ke	520000	下课
fang xue	520000	放学
kao shi	520000	考试
fu xi	520000	复习
yu xi	520000	预习
shang ke	520000	上课
lao shi	520000	老师
tong xue	520000	同学
peng you	520000	朋友
jia ren	520000	家人
fu mu	520000	父母
ba ba	520000	爸爸
ma ma	520000	妈妈
ge ge	520000	哥哥
jie jie	520000	姐姐
di di	520000	弟弟
mei mei	520000	妹妹
hai zi	520000	孩子
lao gong	520000	老公
lao po	520000	老婆
dui xiang	520000	对象
nan peng you	500000	男朋友
nv peng you	500000	女朋友
tong shi	520000	同事
ling dao	520000	领导
ke hu	520000	客户
lao ban	520000	老板
yuan gong	520000	员工
jian pan	520000	键盘
shu biao	520000	鼠标
ping mu	520000	屏幕
yin xiang	520000	音响
xiang ji	520000	相机
chong dian qi	500000	充电器
shu ju xian	500000	数据线
sao ma	520000	扫码
zhi fu	520000	支付
fen xiang	520000	分享
shou cang	520000	收藏
dian zan	520000	点赞
ping lun	520000	评论
zhuan fa	520000	转发
lu yin	520000	录音
pai zhao	520000	拍照
she xiang	520000	摄像
mo shi	520000	模式
wu xian	520000	无线
xin hao	520000	信号
biao qian	520000	标签
li shi	520000	历史
wu hen	520000	无痕
kuo zhan	520000	扩展
wen zi	520000	文字
yu yin shi bie	480000	语音识别
yu yin shu ru	480000	语音输入
ti xing	520000	提醒
ri li	520000	日历
duan xin	520000	短信
dian hua	520000	电话
gong jiao	520000	公交
fei ji	520000	飞机
da che	520000	打车
qi che	520000	骑车
dao hang	520000	导航
zao can	520000	早餐
wu can	520000	午餐
wan can	520000	晚餐
ye xiao	520000	夜宵
ka fei	520000	咖啡
nai cha	520000	奶茶
ke le	520000	可乐
pi jiu	520000	啤酒
bai jiu	520000	白酒
mi fan	520000	米饭
mian tiao	520000	面条
jiao zi	520000	饺子
bao zi	520000	包子
man tou	520000	馒头
ji dan	520000	鸡蛋
niu nai	520000	牛奶
mian bao	520000	面包
shui guo	520000	水果
shu cai	520000	蔬菜
xiang jiao	520000	香蕉
cheng zi	520000	橙子
xi gua	520000	西瓜
pu tao	520000	葡萄
cao mei	520000	草莓
xi hong shi	500000	西红柿
tu dou	520000	土豆
bai cai	520000	白菜
huang gua	520000	黄瓜
yi fu	520000	衣服
ku zi	520000	裤子
xie zi	520000	鞋子
wa zi	520000	袜子
mao zi	520000	帽子
wai tao	520000	外套
qun zi	520000	裙子
chen shan	520000	衬衫
nei yi	520000	内衣
qing tian	520000	晴天
yin tian	520000	阴天
xia xue	520000	下雪
gua feng	520000	刮风
wen du	520000	温度
shi du	520000	湿度
kong qi	520000	空气
yi yuan	520000	医院
yao dian	520000	药店
gan mao	520000	感冒
fa shao	520000	发烧
ke sou	520000	咳嗽
tou teng	520000	头疼
da zhen	520000	打针
xue xiao	520000	学校
jiao shi	520000	教室
tu shu guan	500000	图书馆
shi tang	520000	食堂
su she	520000	宿舍
ban gong shi	500000	办公室
gong si	520000	公司
fang zi	520000	房子
fang jian	520000	房间
ke ting	520000	客厅
wo shi	520000	卧室
chu fang	520000	厨房
wei sheng jian	500000	卫生间
yang tai	520000	阳台
dian ti	520000	电梯
kai men	520000	开门
guan men	520000	关门
kai deng	520000	开灯
guan deng	520000	关灯
kai chuang	520000	开窗
guan chuang	520000	关窗
mai cai	520000	买菜
zuo fan	520000	做饭
xi wan	520000	洗碗
xi yi fu	500000	洗衣服
da sao	520000	打扫
dao la ji	500000	倒垃圾
qian	540000	钱
xian jin	520000	现金
yin xing ka	500000	银行卡
xin yong ka	500000	信用卡
qian bao	520000	钱包
gong zi	520000	工资
jiang jin	520000	奖金
fang zu	520000	房租
zhuang xiu	520000	装修
qi che	520000	汽车
ting che	520000	停车
jia you	520000	加油
jia zhao	520000	驾照
wei zhang	520000	违章
bao xian	520000	保险
dian ying	520000	电影
dian shi	520000	电视
yin le	520000	音乐
you xi	520000	游戏
xiao shuo	520000	小说
xin wen	520000	新闻
duan shi pin	500000	短视频
ai ni	520000	爱你
xiang ni	520000	想你
xiang wo	520000	想我
ma fan	520000	麻烦
bang mang	520000	帮忙
bai tuo	520000	拜托
xin ku	520000	辛苦
bao qian	520000	抱歉
yuan liang	520000	原谅
yi qi	520000	一起
yi gong	520000	一共
yi qie	520000	一切
yi yang	520000	一样
yi ban	520000	一般
chu lai	520000	出来
chu qu	520000	出去
jin lai	520000	进来
jin qu	520000	进去
hui lai	520000	回来
hui qu	520000	回去
guo lai	520000	过来
guo qu	520000	过去
qi lai	520000	起来
xia lai	520000	下来
kan dao	520000	看到
ting dao	520000	听到
xiang dao	520000	想到
gan dao	520000	感到
zhao dao	520000	找到
na dao	520000	拿到
yong dao	520000	用到
deng dao	520000	等到
shang qu	520000	上去
xia qu	520000	下去
chi rou	520000	吃肉
chi cai	520000	吃菜
he jiu	520000	喝酒
he ka fei	500000	喝咖啡
shui zhe	520000	睡着
shui xing	520000	睡醒
zuo meng	520000	做梦
shi mian	520000	失眠
gan huo	520000	干活
zuo shi	520000	做事
ban shi	520000	办事
chu li	520000	处理
jie jue	520000	解决
lian xi	520000	练习
ting ke	520000	听课
shuo hua	520000	说话
liao tian	520000	聊天
tao lun	520000	讨论
shang liang	520000	商量
gao su	520000	告诉
hui da	520000	回答
jie shi	520000	解释
pa shan	520000	爬山
you yong	520000	游泳
da qiu	520000	打球
jian shen	520000	健身
yu ga	520000	瑜伽
gou wu	520000	购物
mai dan	520000	买单
jie zhang	520000	结账
you hui	520000	优惠
zhe kou	520000	折扣
bao you	520000	包邮
tui huo	520000	退货
huan huo	520000	换货
bang ding	520000	绑定
jie bang	520000	解绑
shi ming	520000	实名
ren zheng	520000	认证
xiao xi	520000	消息
shi pin	520000	视频
wei zhi	520000	位置
di zhi	520000	地址
ding wei	520000	定位
di tu	520000	地图
lu xian	520000	路线
qi wen	520000	气温
wu mai	520000	雾霾
tai feng	520000	台风
di zhen	520000	地震
yi qing	520000	疫情
he suan	520000	核酸
xing cheng ka	500000	行程卡
ge li	520000	隔离
chun yun	520000	春运
hui jia	520000	回家
guo nian	520000	过年
yan hua	520000	烟花
dui lian	520000	对联
sheng ri	520000	生日
jie hun	520000	结婚
li hun	520000	离婚
lian ai	520000	恋爱
fen shou	520000	分手
fu he	520000	复合
kuai le	520000	快乐
xing fu	520000	幸福
tong ku	520000	痛苦
jiao lv	520000	焦虑
yi yu	520000	抑郁
ya li	520000	压力
jian kang	520000	健康
sheng bing	520000	生病
kan bing	520000	看病
chi yao	520000	吃药
zhu yuan	520000	住院
shou shu	520000	手术
an quan	520000	安全
wei xian	520000	危险
shi gu	520000	事故
huo zai	520000	火灾
jing cha	520000	警察
bao jing	520000	报警
fa lv	520000	法律
he tong	520000	合同
xie yi	520000	协议
qian zi	520000	签字
gai zhang	520000	盖章
zheng ce	520000	政策
gui ding	520000	规定
zhi du	520000	制度
liu cheng	520000	流程
biao zhun	520000	标准
xiang mu	520000	项目
xu qiu	520000	需求
kai fa	520000	开发
shang xian	520000	上线
fa bu	520000	发布
dai ma	520000	代码
han shu	520000	函数
bian liang	520000	变量
lei ming	520000	类名
wen dang	520000	文档
zhu shi	520000	注释
he bing	520000	合并
chong tu	520000	冲突
she ji	520000	设计
yuan xing	520000	原型
shi jue	520000	视觉
jiao hu	520000	交互
dong xiao	520000	动效
tu biao	520000	图标
chan pin	520000	产品
yun ying	520000	运营
shi chang	520000	市场
xiao shou	520000	销售
ke fu	520000	客服
shou hou	520000	售后
shu ju	520000	数据
tong ji	520000	统计
bao biao	520000	报表
tu biao	520000	图表
zhi biao	520000	指标
zhuan hua	520000	转化
yong hu	520000	用户
zhang hao	520000	账号
ni cheng	520000	昵称
tou xiang	520000	头像
qian ming	520000	签名
jian jie	520000	简介
nei rong	520000	内容
biao ti	520000	标题
zheng wen	520000	正文
tu pian	520000	图片
yin pin	520000	音频
fu jian	520000	附件
ye mian	520000	页面
shou ye	520000	首页
xiang qing	520000	详情
lie biao	520000	列表
shai xuan	520000	筛选
pai xu	520000	排序
an niu	520000	按钮
dan chuang	520000	弹窗
cai dan	520000	菜单
di bu	520000	底部
ding bu	520000	顶部
ce bian	520000	侧边
chao shi	520000	超时
duan kai	520000	断开
ci pan	520000	磁盘
dai kuan	520000	带宽
yan chi	520000	延迟
ka dun	520000	卡顿
diao zhen	520000	掉帧
deng lu tai	500000	登录态
hui hua	520000	会话
ling pai	520000	令牌
mi yao	520000	密钥
zheng shu	520000	证书
jia mi	520000	加密
jie mi	520000	解密
jiao se	520000	角色
guan li yuan	500000	管理员
fang ke	520000	访客
cheng yuan	520000	成员
qun zu	520000	群组
yi du	520000	已读
wei du	520000	未读
cao gao	520000	草稿
che hui	520000	撤回
yin yong	520000	引用
hao you	520000	好友
guan zhu	520000	关注
fen si	520000	粉丝
hei ming dan	500000	黑名单
bei zhu	520000	备注
fen zu	520000	分组
dan mu	520000	弹幕
tou bi	520000	投币
bo fang	520000	播放
zan ting	520000	暂停
kuai jin	520000	快进
kuai tui	520000	快退
bei su	520000	倍速
quan ping	520000	全屏
jing yin	520000	静音
xia zai zhong	500000	下载中
yi wan cheng	500000	已完成
yi qu xiao	500000	已取消
yi shi bai	500000	已失败
pai dui zhong	500000	排队中
geng xin zhong	500000	更新中
an zhuang zhong	500000	安装中
liang ping	520000	亮屏
xi ping	520000	息屏
hu yan	520000	护眼
ye jian	520000	夜间
hu yan mo shi	480000	护眼模式
yin liang	520000	音量
liang du	520000	亮度
dui bi du	500000	对比度
bao he du	500000	饱和度
se wen	520000	色温
zi ti	520000	字体
zi hao	520000	字号
xing ju	520000	行距
dui qi	520000	对齐
jia cu	520000	加粗
xie ti	520000	斜体
xia hua xian	500000	下划线
duan luo	520000	段落
dai ma kuai	500000	代码块
biao ge	520000	表格
xing shu	520000	行数
lie shu	520000	列数
dan yuan ge	500000	单元格
da yin	520000	打印
yu lan	520000	预览
dao chu	520000	导出
dao ru	520000	导入
hui fu	520000	恢复
yun duan	520000	云端
ben di	520000	本地
fu gai	520000	覆盖
cao gao xiang	500000	草稿箱
hui shou zhan	500000	回收站
xing biao	520000	星标
zhi ding	520000	置顶
gui dang	520000	归档
zhong fu	520000	重复
quan tian	520000	全天
shi qu	520000	时区
jin xing zhong	500000	进行中
yi yu qi	500000	已逾期
you xian ji	500000	优先级
bi ji	520000	笔记
bi ji ben	500000	笔记本
lian jie	520000	链接
zhi wen	520000	指纹
mian rong	520000	面容
er ci yan zheng	480000	二次验证
fu kuan	520000	付款
tui kuan	520000	退款
zhang dan	520000	账单
yu e	520000	余额
chu xu ka	500000	储蓄卡
shu zi ren min bi	460000	数字人民币
lan shou	520000	揽收
yun shu	520000	运输
pai song	520000	派送
qian shou	520000	签收
ju shou	520000	拒收
qi shou	520000	骑手
shang jia	520000	商家
gu ke	520000	顾客
pei song	520000	配送
huan cheng	520000	换乘
shou ban	520000	首班
mo ban	520000	末班
yan wu	520000	延误
dong che	520000	动车
huo che	520000	火车
hang ban	520000	航班
deng ji	520000	登机
qi fei	520000	起飞
jiang luo	520000	降落
jiu dian	520000	酒店
min su	520000	民宿
ru zhu	520000	入住
tui fang	520000	退房
xu zhu	520000	续住
men piao	520000	门票
yu yue	520000	预约
pai dui	520000	排队
jian piao	520000	检票
chu piao	520000	出票
jing qu	520000	景区
gong yuan	520000	公园
bo wu guan	500000	博物馆
dian ying yuan	500000	电影院
shang chang	520000	商场
chao shi	520000	超市
bian li dian	500000	便利店
cai shi chang	500000	菜市场
gua hao	520000	挂号
men zhen	520000	门诊
ji zhen	520000	急诊
chu yuan	520000	出院
fu cha	520000	复查
chu fang	520000	处方
yao pin	520000	药品
yong fa	520000	用法
yong liang	520000	用量
jin ji	520000	禁忌
you er yuan	500000	幼儿园
xiao xue	520000	小学
chu zhong	520000	初中
gao zhong	520000	高中
da xue	520000	大学
xue sheng	520000	学生
jia zhang	520000	家长
xiao zhang	520000	校长
ban zhu ren	500000	班主任
cheng ji	520000	成绩
pai ming	520000	排名
sheng xue	520000	升学
bu men	520000	部门
gang wei	520000	岗位
zhi ji	520000	职级
ji xiao	520000	绩效
jin sheng	520000	晋升
mian shi	520000	面试
jian li	520000	简历
ru zhi	520000	入职
li zhi	520000	离职
nian zhong jiang	500000	年终奖
ge shui	520000	个税
shui dian	520000	水电
wu ye	520000	物业
wang fei	520000	网费
ran qi	520000	燃气
jia ju	520000	家具
jia dian	520000	家电
shou na	520000	收纳
chao cai	520000	炒菜
zhu fan	520000	煮饭
zhu mian	520000	煮面
bao tang	520000	煲汤
xi yi	520000	洗衣
liang yi fu	500000	晾衣服
die yi fu	500000	叠衣服
tuo di	520000	拖地
liu gou	520000	遛狗
wei mao	520000	喂猫
yang yu	520000	养鱼
zhong hua	520000	种花
lv xing	520000	旅行
du jia	520000	度假
ye can	520000	野餐
lu ying	520000	露营
lu xiang	520000	录像
zi pai	520000	自拍
jian ji	520000	剪辑
zhui ju	520000	追剧
shua duan shi pin	480000	刷短视频
da you xi	500000	打游戏
kan shu	520000	看书
ting ge	520000	听歌
la shen	520000	拉伸
qi xing	520000	骑行
zao qi	520000	早起
ao ye	520000	熬夜
wu shui	520000	午睡
du che	520000	堵车
da san	520000	打伞
dai san	520000	带伞
fang shai	520000	防晒
bao nuan	520000	保暖
shou tao	520000	手套
wei jin	520000	围巾
mo jing	520000	墨镜
mei dian	520000	没电
di dian liang	500000	低电量
sheng dian	520000	省电
mei wang	520000	没网
diao xian	520000	掉线
zhong lian	520000	重连
lu kuang	520000	路况
xian xing	520000	限行
jiao fei	520000	缴费
dui gong	520000	对公
gong xiang ping mu	480000	共享屏幕
hun he ban gong	480000	混合办公
mo yu	520000	摸鱼
hua shui	520000	划水
bing jia	520000	病假
# Coverage: 栈, CS terms, and official polyphones that should sit on page 1.
zhan	1500	栈
hang	12000	航
hang	8000	杭
yue	20000	乐
liao	25000	了
jiao	8000	觉
zhuan	4000	传
tiao	8000	调
xie	8000	血
pian	5000	便
dui zhan	900000	堆栈
zhan dao	400000	栈道
di gui	700000	递归
can ci	400000	参差
